,"N","966873"
"TECW","N","1371632"
"TECX","N","1371633"
"TECY","N","1371634"
"TECZ","N","1371635"
"TED0","N","1371636"
"TED1","N","1371637"
"TED2","N","1371638"
"TED3","N","1371639"
"TED4","N","1371640"
"TED5","N","1371641"
"TED6","N","1371642"
"TED7","N","1371643"
"TED8","N","1371644"
"TED9","N","1371645"
"TEDA","N","1371646"
"TEDB","N","1371647"
"TEDC","N","1371648"
"TEDD","N","1371649"
"TEDE","N","1371650"
"TEDF","N","1371651"
"TEDG","N","1371652"
"TEDH","N","1371653"
"TEDI","N","1371654"
"TEDJ","N","1371655"
"TEDK","N","1371656"
"TEDL","N","1371657"
"TEDM","N","1371658"
"TEDN","N","1371659"
"TEDO","N","1371660"
"TEDP","N","1371661"
"TEDQ","N","1371662"
"TEDR","N","1371663"
"TEDS","N","1371664"
"TEDT","N","1371665"
"TEDU","N","1371666"
"TEDV","N","1371667"
"TEDW","N","1371668"
"TEDX","N","1371669"
"TEDY","N","1371670"
"TEDZ","N","1371671"
"TEE0","N","1371672"
"TEE1","N","1371673"
"TEE2","N","1371674"
"TEE3","N","1371675"
"TEE4","N","1371676"
"TEE5","N","1371677"
"TEE6","N","1371678"
"TEE7","N","1371679"
"TEE8","N","1371680"
"TEE9","N","1371681"
"TEEA","N","1371682"
"TEEB","N","1371683"
"TEEC","N","1371684"
"TEED","N","1371685"
"TEEE","N","1371686"
"TEEF","N","1371687"
"TEEG","N","1371688"
"TEEH","N","1371689"
"TEEI","N","1371690"
"TEEJ","N","1371691"
"TEEK","N","1371692"
"TEEL","N","1371693"
"TEEM","N","1371694"
"TEEN","N","1371695"
"TEEO","N","1371696"
"TEEP","N","1371697"
"TEEQ","N","1371698"
"TEER","N","1371699"
"TEES","N","1371700"
"TEET","N","1371701"
"TEEU","N","1371702"
"TEEV","N","1371703"
"TEEW","N","1371704"
"TEEX","N","1371705"
"TEEY","N","1371706"
"TEEZ","N","1371707"
"TEF0","N","1371708"
"TEF1","N","1371709"
"TEF2","N","1371710"
"TEF3","N","1371711"
"TEF4","N","1371712"
"TEF5","N","1371713"
"TEF6","N","1371714"
"TEF7","N","1371715"
"TEF8","N","1371716"
"TEF9","N","1371717"
"TEFA","N","1371718"
"TEFB","N","1371719"
"TEFC","N","1371720"
"TEFD","N","1371721"
"TEFE","N","1371722"
"TEFF","N","1371723"
"TEFG","N","1371724"
"TEFH","N","1371725"
"TEFI","N","1371726"
"TEFJ","N","1371727"
"TEFK","N","1371728"
"TEFL","N","1371729"
"TEFM","N","1371730"
"TEFN","N","1371731"
"TEFO","N","1371732"
"TEFP","N","1371733"
"TEFQ","N","1371734"
"TEFR","N","1371735"
"TEFS","N","1371736"
"TEFT","N","1371737"
"TEFU","N","1371738"
"TEFV","N","1371739"
"TEFW","N","1371740"
"TEFX","N","1371741"
"TEFY","N","1371742"
"TEFZ","N","1371743"
"TEG0","N","1371744"
"TEG1","N","1371745"
"TEG2","N","1371746"
"TEG3","N","1371747"
"TEG4","N","1371748"
"TEG5","N","1371749"
"TEG6","N","1371750"
"TEG7","N","1371751"
"TEG8","N","1371752"
"TEG9","N","1371753"
"TEGA","N","1371754"
"TEGB","N","1371755"
"TEGC","N","1371756"
"TEGD","N","1371757"
"TEGE","N","1371758"
"TEGF","N","1371759"
"TEGG","N","1371760"
"TEGH","N","1371761"
"TEGI","N","1371762"
"TEGJ","N","1371763"
"TEGK","N","1371764"
"TDU8","N","1370960"
"TEGM","N","1371766"
"TEGN","N","1371767"
"TEGO","N","1371768"
"TEGP","N","1371769"
"TEGQ","N","1371770"
"TEGR","N","1371771"
"TEGS","N","1371772"
"TEGT","N","1371773"
"TEGU","N","1371774"
"TEGV","N","1371775"
"TEGW","N","1371776"
"TEGX","N","1371777"
"TEGY","N","1371778"
"TEGZ","N","1371779"
"TEH0","N","1371780"
"TEH1","N","1371781"
"TEH2","N","1371782"
"TEH3","N","1371783"
"TEH4","N","1371784"
"TEH5","N","1371785"
"TEH6","N","1371786"
"TEH7","N","1371787"
"TEH8","N","1371788"
"TEH9","N","1371789"
"TEHA","N","1371790"
"TEHB","N","1371791"
"TEHC","N","1371792"
"TEHD","N","1371793"
"TEHE","N","1371794"
"TEHF","N","1371795"
"TEHG","N","1371796"
"TEHH","N","1371797"
"TEHI","N","1371798"
"TEHJ","N","1371799"
"TEHK","N","1371800"
"TEHL","N","1371801"
"TEHM","N","1371802"
"TEHN","N","1371803"
"TEHO","N","1371804"
"TEHP","N","1371805"
"TEHQ","N","1371806"
"TEHR","N","1371807"
"TEHS","N","1371808"
"TEHT","N","1371809"
"TEHU","N","1371810"
"TEHV","N","1371811"
"TEHW","N","1371812"
"TEHX","N","1371813"
"TEHY","N","1371814"
"TEHZ","N","1371815"
"TEI0","N","1371816"
"TEI1","N","1371817"
"TEI2","N","1371818"
"TEI3","N","1371819"
"TEI4","N","1371820"
"TEI5","N","1371821"
"TEI6","N","1371822"
"TEI7","N","1371823"
"TEI8","N","1371824"
"TEI9","N","1371825"
"TEIA","N","1371826"
"TEIB","N","1371827"
"TEIC","N","1371828"
"TEID","N","1371829"
"TEIE","N","1371830"
"TEIF","N","1371831"
"TEIG","N","1371832"
"TEIH","N","1371833"
"TEII","N","1371834"
"TEIJ","N","1371835"
"TEIK","N","1371836"
"TEIL","N","1371837"
"TEIM","N","1371838"
"TEIN","N","1371839"
"TEIO","N","1371840"
"TEIP","N","1371841"
"TEIQ","N","1371842"
"TEIR","N","1371843"
"TEIS","N","1371844"
"TEIT","N","1371845"
"TEIU","N","1371846"
"TEIV","N","1371847"
"TEIW","N","1371848"
"TEIX","N","1371849"
"TEIY","N","1371850"
"TEIZ","N","1371851"
"TEJ0","N","1371852"
"TEJ1","N","1371853"
"TEJ2","N","1371854"
"TEJ3","N","1371855"
"TEJ4","N","1371856"
"TEJ5","N","1371857"
"TEJ6","N","1371858"
"TEJ7","N","1371859"
"TEJ8","N","1371860"
"TEJ9","N","1371861"
"TEJA","N","1371862"
"TEJB","N","1371863"
"TEJC","N","1371864"
"TEJD","N","1371865"
"TEJE","N","1371866"
"TEJF","N","1371867"
"TEJG","N","1371868"
"TEJH","N","1371869"
"TEJI","N","1371870"
"TEJJ","N","1371871"
"TEJK","N","1371872"
"TEJL","N","1371873"
"TEJM","N","1371874"
"TEJN","N","1371875"
"TEJO","N","1371876"
"TEJP","N","1371877"
"TEJQ","N","1371878"
"TEJR","N","1371879"
"TEJS","N","1371880"
"TEJT","N","1371881"
"TEJU","N","1371882"
"TEJV","N","1371883"
"TEJW","N","1371884"
"TEJX","N","1371885"
"TEJY","N","1371886"
"TEJZ","N","1371887"
"TEK0","N","1371888"
"TEK1","N","1371889"
"TEK2","N","1371890"
"TEK3","N","1371891"
"TEK4","N","1371892"
"TEK5","N","1371893"
"TEK6","N","1371894"
"TEK7","N","1371895"
"TEK8","N","1371896"
"TEK9","N","1371897"
"TEKA","N","1371898"
"TEKB","N","1371899"
"TEKC","N","1371900"
"TEKD","N","1371901"
"TEKE","N","1371902"
"TEKF","N","1371903"
"TEKG","N","1371904"
"TEKH","N","1371905"
"TEKI","N","1371906"
"TEKJ","N","1371907"
"TEKK","N","1371908"
"TEKL","N","1371909"
"TEKM","N","1371910"
"TEKN","N","1371911"
"TEKO","N","1371912"
"TEKP","N","1371913"
"TEKQ","N","1371914"
"TEKR","N","1371915"
"TEKS","N","1371916"
"TEKT","N","1371917"
"TEKU","N","1371918"
"TEKV","N","1371919"
"TEKW","N","1371920"
"TEKX","N","1371921"
"TEKY","N","1371922"
"TEKZ","N","1371923"
"TEL0","N","1371924"
"TEL1","N","1371925"
"TEL2","N","1371926"
"TEL3","N","1371927"
"TEL4","N","1371928"
"TEL5","N","1371929"
"TEL6","N","1371930"
"TEL7","N","1371931"
"TEL8","N","1371932"
"TEL9","N","1371933"
"TELA","N","1371934"
"TELB","N","1371935"
"TELC","N","1371936"
"TELD","N","1371937"
"TELE","N","1371938"
"TELF","N","1371939"
"TELG","N","1371940"
"TELH","N","1371941"
"TELI","N","1371942"
"TELJ","N","1371943"
"TELK","N","1371944"
"TELL","N","1371945"
"TELM","N","1371946"
"TELN","N","1371947"
"TELO","N","1371948"
"TELP","N","1371949"
"TELQ","N","1371950"
"TELR","N","1371951"
"TELS","N","1371952"
"TELT","N","1371953"
"TELU","N","1371954"
"TELV","N","1371955"
"TELW","N","1371956"
"TELX","N","1371957"
"TELY","N","1371958"
"TELZ","N","1371959"
"TEM0","N","1371960"
"TEM1","N","1371961"
"TEM2","N","1371962"
"TEM3","N","1371963"
"TEM4","N","1371964"
"TEM5","N","1371965"
"TEM6","N","1371966"
"TEM7","N","1371967"
"TEM8","N","1371968"
"TEM9","N","1371969"
"TEMA","N","1371970"
"TEMB","N","1371971"
"TEMC","N","1371972"
"TEMD","N","1371973"
"TEME","N","1371974"
"TEMF","N","1371975"
"TEMG","N","1371976"
"TEMH","N","1371977"
"TEMI","N","1371978"
"TEMJ","N","1371979"
"TEMK","N","1371980"
"TEML","N","1371981"
"TEMM","N","1371982"
"TEMN","N","1371983"
"TEMO","N","1371984"
"TEMP","N","1371985"
"TEMQ","N","1371986"
"TEMR","N","1371987"
"TEMS","N","1371988"
"TEMT","N","1371989"
"TEMU","N","1371990"
"TEMV","N","1371991"
"TEMW","N","1371992"
"TEMX","N","1371993"
"TEMY","N","1371994"
"TEMZ","N","1371995"
"TEN0","N","1371996"
"TEN1","N","1371997"
"TEN2","N","1371998"
"TEN3","N","1371999"
"TEN4","N","1372000"
"TEN5","N","1372001"
"TEN6","N","1372002"
"TEN7","N","1372003"
"TEN8","N","1372004"
"TEN9","N","1372005"
"TENA","N","1372006"
"TENB","N","1372007"
"TENC","N","1372008"
"TEND","N","1372009"
"TENE","N","1372010"
"TENF","N","1372011"
"TENG","N","1372012"
"TENH","N","1372013"
"TENI","N","1372014"
"TENJ","N","1372015"
"TENK","N","1372016"
"TENL","N","1372017"
"TENM","N","1372018"
"TENN","N","1372019"
"TENO","N","1372020"
"TENP","N","1372021"
"TENQ","N","1372022"
"TENR","N","1372023"
"TENS","N","1372024"
"TENT","N","1372025"
"TENU","N","1372026"
"TENV","N","1372027"
"TENW","N","1372028"
"TENX","N","1372029"
"TENY","N","1372030"
"TENZ","N","1372031"
"TEO0","N","1372032"
"TEO1","N","1372033"
"TEO2","N","1372034"
"TEO3","N","1372035"
"TEO4","N","1372036"
"TEO5","N","1372037"
"TEO6","N","1372038"
"TEO7","N","1372039"
"TEO8","N","1372040"
"TEO9","N","1372041"
"TEOA","N","1372042"
"TEOB","N","1372043"
"TEOC","N","1372044"
"TEOD","N","1372045"
"TEOE","N","1372046"
"TEOF","N","1372047"
"TEOG","N","1372048"
"TEOH","N","1372049"
"TEOI","N","1372050"
"TEOJ","N","1372051"
"TEOK","N","1372052"
"TEOL","N","1372053"
"TEOM","N","1372054"
"TEON","N","1372055"
"TEOO","N","1372056"
"TEOP","N","1372057"
"TEOQ","N","1372058"
"TEOR","N","1372059"
"TEOS","N","1372060"
"TEOT","N","1372061"
"TEOU","N","1372062"
"TEOV","N","1372063"
"TEOW","N","1372064"
"TEOX","N","1372065"
"TEOY","N","1372066"
"TEOZ","N","1372067"
"TEP0","N","1372068"
"TEP1","N","1372069"
"TEP2","N","1372070"
"TEP3","N","1372071"
"TEP4","N","1372072"
"TEP5","N","1372073"
"TEP6","N","1372074"
"TEP7","N","1372075"
"TEP8","N","1372076"
"TEP9","N","1372077"
"TEPA","N","1372078"
"TEPB","N","1372079"
"TEPC","N","1372080"
"TEPD","N","1372081"
"TEPE","N","1372082"
"TEPF","N","1372083"
"TEPG","N","1372084"
"TEPH","N","1372085"
"TEPI","N","1372086"
"TEPJ","N","1372087"
"TEPK","N","1372088"
"TEPL","N","1372089"
"TEPM","N","1372090"
"TEPN","N","1372091"
"TEPO","N","1372092"
"TEPP","N","1372093"
"TEPQ","N","1372094"
"TEPR","N","1372095"
"TEPS","N","1372096"
"TEPT","N","1372097"
"TEPU","N","1372098"
"TEPV","N","1372099"
"TEPW","N","1372100"
"TEPX","N","1372101"
"TEPY","N","1372102"
"TEPZ","N","1372103"
"TEQ0","N","1372104"
"TEQ1","N","1372105"
"TEQ2","N","1372106"
"TEQ3","N","1372107"
"TEQ4","N","1372108"
"TEQ5","N","1372109"
"TEQ6","N","1372110"
"TEQ7","N","1372111"
"TEQ8","N","1372112"
"TEQ9","N","1372113"
"TEQA","N","1372114"
"TEQB","N","1372115"
"TEQC","N","1372116"
"TEQD","N","1372117"
"TEQE","N","1372118"
"TEQF","N","1372119"
"TEQG","N","1372120"
"TEQH","N","1372121"
"TEQI","N","1372122"
"TEQJ","N","1372123"
"TEQK","N","1372124"
"TEQL","N","1372125"
"TEQM","N","1372126"
"TEQN","N","1372127"
"TEQO","N","1372128"
"TEQP","N","1372129"
"TEQQ","N","1372130"
"TEQR","N","1372131"
"TEQS","N","1372132"
"TEQT","N","1372133"
"TEQU","N","1372134"
"TEQV","N","1372135"
"TEQW","N","1372136"
"TEQX","N","1372137"
"TEQY","N","1372138"
"TEQZ","N","1372139"
"TER0","N","1372140"
"TER1","N","1372141"
"TER2","N","1372142"
"TER3","N","1372143"
"TER4","N","1372144"
"TER5","N","1372145"
"TER6","N","1372146"
"TER7","N","1372147"
"TER8","N","1372148"
"TER9","N","1372149"
"TERA","N","1372150"
"TERB","N","1372151"
"TERC","N","1372152"
"TERD","N","1372153"
"TERE","N","1372154"
"TERF","N","1372155"
"TERG","N","1372156"
"TERH","N","1372157"
"TERI","N","1372158"
"TERJ","N","1372159"
"TERK","N","1372160"
"TERL","N","1372161"
"TERM","N","1372162"
"TERN","N","1372163"
"TERO","N","1372164"
"TERP","N","1372165"
"TERQ","N","1372166"
"TERR","N","1372167"
"TE5F","N","1371363"
"TERT","N","1372169"
"TERU","N","1372170"
"TERV","N","1372171"
"TERW","N","1372172"
"TERX","N","1372173"
"TERY","N","1372174"
"TERZ","N","1372175"
"TES0","N","1372176"
"TES1","N","1372177"
"TES2","N","1372178"
"TES3","N","1372179"
"TES4","N","1372180"
"TES5","N","1372181"
"TES6","N","1372182"
"TES7","N","1372183"
"TES8","N","1372184"
"TES9","N","1372185"
"TESA","N","1372186"
"TESB","N","1372187"
"TESC","N","1372188"
"TESD","N","1372189"
"TESE","N","1372190"
"TESF","N","1372191"
"TESG","N","1372192"
"TESH","N","1372193"
"TESI","N","1372194"
"TESJ","N","1372195"
"TESK","N","1372196"
"TESL","N","1372197"
"TESM","N","1372198"
"TESN","N","1372199"
"TESO","N","1372200"
"TESP","N","1372201"
"TESQ","N","1372202"
"TESR","N","1372203"
"TESS","N","1372204"
"TEST","N","1372205"
"TESU","N","1372206"
"TESV","N","1372207"
"TESW","N","1372208"
"TESX","N","1372209"
"TESY","N","1372210"
"TESZ","N","1372211"
"TET0","N","1372212"
"TET1","N","1372213"
"TET2","N","1372214"
"TET3","N","1372215"
"TET4","N","1372216"
"TET5","N","1372217"
"TET6","N","1372218"
"TET7","N","1372219"
"TET8","N","1372220"
"TET9","N","1372221"
"TETA","N","1372222"
"TETB","N","1372223"
"TETC","N","1372224"
"TETD","N","1372225"
"TETE","N","1372226"
"TETF","N","1372227"
"TETG","N","1372228"
"TETH","N","1372229"
"TETI","N","1372230"
"TETJ","N","1372231"
"TETK","N","1372232"
"TETL","N","1372233"
"TETM","N","1372234"
"TETN","N","1372235"
"TETO","N","1372236"
"TETP","N","1372237"
"TETQ","N","1372238"
"TETR","N","1372239"
"TETS","N","1372240"
"TETT","N","1372241"
"TETU","N","1372242"
"TETV","N","1372243"
"TETW","N","1372244"
"TETX","N","1372245"
"TETY","N","1372246"
"TETZ","N","1372247"
"TEU0","N","1372248"
"TEU1","N","1372249"
"TEU2","N","1372250"
"TEU3","N","1372251"
"TEU4","N","1372252"
"TEU5","N","1372253"
"TEU6","N","1372254"
"TEU7","N","1372255"
"TEU8","N","1372256"
"TEU9","N","1372257"
"TEUA","N","1372258"
"TEUB","N","1372259"
"TEUC","N","1372260"
"TEUD","N","1372261"
"TEUE","N","1372262"
"TEUF","N","1372263"
"TEUG","N","1372264"
"TEUH","N","1372265"
"TEUI","N","1372266"
"TEUJ","N","1372267"
"TEUK","N","1372268"
"TEUL","N","1372269"
"TEUM","N","1372270"
"TEUN","N","1372271"
"TEUO","N","1372272"
"TEUP","N","1372273"
"TEUQ","N","1372274"
"TEUR","N","1372275"
"TEUS","N","1372276"
"TEUT","N","1372277"
"TEUU","N","1372278"
"TEUV","N","1372279"
"TEUW","N","1372280"
"TEUX","N","1372281"
"TEUY","N","1372282"
"TEUZ","N","1372283"
"TEV0","N","1372284"
"TEV1","N","1372285"
"TEV2","N","1372286"
"TEV3","N","1372287"
"TEV4","N","1372288"
"TEV5","N","1372289"
"TEV6","N","1372290"
"TEV7","N","1372291"
"TEV8","N","1372292"
"TEV9","N","1372293"
"TEVA","N","1372294"
"TEVB","N","1372295"
"TEVC","N","1372296"
"TEVD","N","1372297"
"TEVE","N","1372298"
"TEVF","N","1372299"
"TEVG","N","1372300"
"TEVH","N","1372301"
"TEVI","N","1372302"
"TEVJ","N","1372303"
"TEVK","N","1372304"
"TEVL","N","1372305"
"TEVM","N","1372306"
"TEVN","N","1372307"
"TEVO","N","1372308"
"TEVP","N","1372309"
"TEVQ","N","1372310"
"TEVR","N","1372311"
"TEVS","N","1372312"
"TEVT","N","1372313"
"TEVU","N","1372314"
"TEVV","N","1372315"
"TEVW","N","1372316"
"TEVX","N","1372317"
"TEVY","N","1372318"
"TEVZ","N","1372319"
"TEW0","N","1372320"
"TEW1","N","1372321"
"TEW2","N","1372322"
"TEW3","N","1372323"
"TEW4","N","1372324"
"TEW5","N","1372325"
"TEW6","N","1372326"
"TEW7","N","1372327"
"TEW8","N","1372328"
"TEW9","N","1372329"
"TEWA","N","1372330"
"TEWB","N","1372331"
"TEWC","N","1372332"
"TEWD","N","1372333"
"TEWE","N","1372334"
"TEWF","N","1372335"
"TEWG","N","1372336"
"TEWH","N","1372337"
"TEWI","N","1372338"
"TEWJ","N","1372339"
"TEWK","N","1372340"
"TEWL","N","1372341"
"TEWM","N","1372342"
"TEWN","N","1372343"
"TEWO","N","1372344"
"TEWP","N","1372345"
"TEWQ","N","1372346"
"TEWR","N","1372347"
"TEWS","N","1372348"
"TEWT","N","1372349"
"TEWU","N","1372350"
"TEWV","N","1372351"
"TEWW","N","1372352"
"TEWX","N","1372353"
"TEWY","N","1372354"
"TEWZ","N","1372355"
"TEX0","N","1372356"
"TEX1","N","1372357"
"TEX2","N","1372358"
"TEX3","N","1372359"
"TEX4","N","1372360"
"TEX5","N","1372361"
"TEX6","N","1372362"
"TEX7","N","1372363"
"TEX8","N","1372364"
"TEX9","N","1372365"
"TEXA","N","1372366"
"TEXB","N","1372367"
"TEXC","N","1372368"
"TEXD","N","1372369"
"TEXE","N","1372370"
"TEXF","N","1372371"
"TEXG","N","1372372"
"TEXH","N","1372373"
"TEXI","N","1372374"
"TEXJ","N","1372375"
"TEXK","N","1372376"
"TEXL","N","1372377"
"TEXM","N","1372378"
"TEXN","N","1372379"
"TEXO","N","1372380"
"TEXP","N","1372381"
"TEXQ","N","1372382"
"TEXR","N","1372383"
"TEXS","N","1372384"
"TEXT","N","1372385"
"TEXU","N","1372386"
"TEXV","N","1372387"
"TEXW","N","1372388"
"TEXX","N","1372389"
"TEXY","N","1372390"
"TEXZ","N","1372391"
"TEY0","N","1372392"
"TEY1","N","1372393"
"TEY2","N","1372394"
"TEY3","N","1372395"
"TEY4","N","1372396"
"TEY5","N","1372397"
"TEY6","N","1372398"
"TEY7","N","1372399"
"TEY8","N","1372400"
"TEY9","N","1372401"
"TEYA","N","1372402"
"TEYB","N","1372403"
"TEYC","N","1372404"
"TEYD","N","1372405"
"TEYE","N","1372406"
"TEYF","N","1372407"
"TEYG","N","1372408"
"TEYH","N","1372409"
"TEYI","N","1372410"
"TEYJ","N","1372411"
"TEYK","N","1372412"
"TEYL","N","1372413"
"TEYM","N","1372414"
"TEYN","N","1372415"
"TEYO","N","1372416"
"TEYP","N","1372417"
"TEYQ","N","1372418"
"TEYR","N","1372419"
"TEYS","N","1372420"
"TEYT","N","1372421"
"TEYU","N","1372422"
"TEYV","N","1372423"
"TEYW","N","1372424"
"TEYX","N","1372425"
"TEYY","N","1372426"
"TEYZ","N","1372427"
"TEZ0","N","1372428"
"TEZ1","N","1372429"
"TEZ2","N","1372430"
"TEZ3","N","1372431"
"TEZ4","N","1372432"
"TEZ5","N","1372433"
"TEZ6","N","1372434"
"TEZ7","N","1372435"
"TEZ8","N","1372436"
"TEZ9","N","1372437"
"TEZA","N","1372438"
"TEZB","N","1372439"
"TEZC","N","1372440"
"TEZD","N","1372441"
"TEZE","N","1372442"
"TEZF","N","1372443"
"TEZG","N","1372444"
"TEZH","N","1372445"
"TEZI","N","1372446"
"TEZJ","N","1372447"
"TEZK","N","1372448"
"TEZL","N","1372449"
"TEZM","N","1372450"
"TEZN","N","1372451"
"TEZO","N","1372452"
"TEZP","N","1372453"
"TEZQ","N","1372454"
"TEZR","N","1372455"
"TEZS","N","1372456"
"TEZT","N","1372457"
"TEZU","N","1372458"
"TEZV","N","1372459"
"TEZW","N","1372460"
"TEZX","N","1372461"
"TEZY","N","1372462"
"TEZZ","N","1372463"
"TF00","N","1372464"
"TF01","N","1372465"
"TF02","N","1372466"
"TF03","N","1372467"
"TF04","N","1372468"
"TF05","N","1372469"
"TF06","N","1372470"
"TF07","N","1372471"
"TF08","N","1372472"
"TF09","N","1372473"
"TF0A","N","1372474"
"TF0B","N","1372475"
"TF0C","N","1372476"
"TF0D","N","1372477"
"TF0E","N","1372478"
"TF0F","N","1372479"
"TF0G","N","1372480"
"TF0H","N","1372481"
"TF0I","N","1372482"
"TF0J","N","1372483"
"TF0K","N","1372484"
"TF0L","N","1372485"
"TF0M","N","1372486"
"TF0N","N","1372487"
"TF0O","N","1372488"
"TF0P","N","1372489"
"TF0Q","N","1372490"
"TF0R","N","1372491"
"TF0S","N","1372492"
"TF0T","N","1372493"
"TF0U","N","1372494"
"TF0V","N","1372495"
"TF0W","N","1372496"
"TF0X","N","1372497"
"TF0Y","N","1372498"
"TF0Z","N","1372499"
"TF10","N","1372500"
"TF11","N","1372501"
"TF12","N","1372502"
"TF13","N","1372503"
"TF14","N","1372504"
"TF15","N","1372505"
"TF16","N","1372506"
"TF17","N","1372507"
"TF18","N","1372508"
"TF19","N","1372509"
"TF1A","N","1372510"
"TF1B","N","1372511"
"TF1C","N","1372512"
"TF1D","N","1372513"
"TF1E","N","1372514"
"TF1F","N","1372515"
"TF1G","N","1372516"
"TF1H","N","1372517"
"TF1I","N","1372518"
"TF1J","N","1372519"
"TF1K","N","1372520"
"TF1L","N","1372521"
"TF1M","N","1372522"
"TF1N","N","1372523"
"TF1O","N","1372524"
"TF1P","N","1372525"
"TF1Q","N","1372526"
"TF1R","N","1372527"
"TF1S","N","1372528"
"TF1T","N","1372529"
"TF1U","N","1372530"
"TF1V","N","1372531"
"TF1W","N","1372532"
"TF1X","N","1372533"
"TF1Y","N","1372534"
"TF1Z","N","1372535"
"TF20","N","1372536"
"TF21","N","1372537"
"TF22","N","1372538"
"TF23","N","1372539"
"TF24","N","1372540"
"TF25","N","1372541"
"TF26","N","1372542"
"TF27","N","1372543"
"TF28","N","1372544"
"TF29","N","1372545"
"TF2A","N","1372546"
"TF2B","N","1372547"
"TF2C","N","1372548"
"TF2D","N","1372549"
"TF2E","N","1372550"
"TF2F","N","1372551"
"TF2G","N","1372552"
"TF2H","N","1372553"
"TF2I","N","1372554"
"TF2J","N","1372555"
"TF2K","N","1372556"
"TF2L","N","1372557"
"TF2M","N","1372558"
"TF2N","N","1372559"
"TF2O","N","1372560"
"TF2P","N","1372561"
"TF2Q","N","1372562"
"TF2R","N","1372563"
"TF2S","N","1372564"
"TF2T","N","1372565"
"TF2U","N","1372566"
"TF2V","N","1372567"
"TF2W","N","1372568"
"TF2X","N","1372569"
"TF2Y","N","1372570"
"TEGL","N","1371765"
"TF30","N","1372572"
"TF31","N","1372573"
"TF32","N","1372574"
"TF33","N","1372575"
"TF34","N","1372576"
"TF35","N","1372577"
"TF36","N","1372578"
"TF37","N","1372579"
"TF38","N","1372580"
"TF39","N","1372581"
"TF3A","N","1372582"
"TF3B","N","1372583"
"TF3C","N","1372584"
"TF3D","N","1372585"
"TF3E","N","1372586"
"TF3F","N","1372587"
"TF3G","N","1372588"
"TF3H","N","1372589"
"TF3I","N","1372590"
"TF3J","N","1372591"
"TF3K","N","1372592"
"TF3L","N","1372593"
"TF3M","N","1372594"
"TF3N","N","1372595"
"TF3O","N","1372596"
"TF3P","N","1372597"
"TF3Q","N","1372598"
"TF3R","N","1372599"
"TF3S","N","1372600"
"TF3T","N","1372601"
"TF3U","N","1372602"
"TF3V","N","1372603"
"TF3W","N","1372604"
"TF3X","N","1372605"
"TF3Y","N","1372606"
"TF3Z","N","1372607"
"TF40","N","1372608"
"TF41","N","1372609"
"TF42","N","1372610"
"TF43","N","1372611"
"TF44","N","1372612"
"TF45","N","1372613"
"TF46","N","1372614"
"TF47","N","1372615"
"TF48","N","1372616"
"TF49","N","1372617"
"TF4A","N","1372618"
"TF4B","N","1372619"
"TF4C","N","1372620"
"TF4D","N","1372621"
"TF4E","N","1372622"
"TF4F","N","1372623"
"TF4G","N","1372624"
"TF4H","N","1372625"
"TF4I","N","1372626"
"TF4J","N","1372627"
"TF4K","N","1372628"
"TF4L","N","1372629"
"TF4M","N","1372630"
"TF4N","N","1372631"
"TF4O","N","1372632"
"TF4P","N","1372633"
"TF4Q","N","1372634"
"TF4R","N","1372635"
"TF4S","N","1372636"
"TF4T","N","1372637"
"TF4U","N","1372638"
"TF4V","N","1372639"
"TF4W","N","1372640"
"TF4X","N","1372641"
"TF4Y","N","1372642"
"TF4Z","N","1372643"
"TF50","N","1372644"
"TF51","N","1372645"
"TF52","N","1372646"
"TF53","N","1372647"
"TF54","N","1372648"
"TF55","N","1372649"
"TF56","N","1372650"
"TF57","N","1372651"
"TF58","N","1372652"
"TF59","N","1372653"
"TF5A","N","1372654"
"TF5B","N","1372655"
"TF5C","N","1372656"
"TF5D","N","1372657"
"TF5E","N","1372658"
"TF5F","N","1372659"
"TF5G","N","1372660"
"TF5H","N","1372661"
"TF5I","N","1372662"
"TF5J","N","1372663"
"TF5K","N","1372664"
"TF5L","N","1372665"
"TF5M","N","1372666"
"TF5N","N","1372667"
"TF5O","N","1372668"
"TF5P","N","1372669"
"TF5Q","N","1372670"
"TF5R","N","1372671"
"TF5S","N","1372672"
"TF5T","N","1372673"
"TF5U","N","1372674"
"TF5V","N","1372675"
"TF5W","N","1372676"
"TF5X","N","1372677"
"TF5Y","N","1372678"
"TF5Z","N","1372679"
"TF60","N","1372680"
"TF61","N","1372681"
"TF62","N","1372682"
"TF63","N","1372683"
"TF64","N","1372684"
"TF65","N","1372685"
"TF66","N","1372686"
"TF67","N","1372687"
"TF68","N","1372688"
"TF69","N","1372689"
"TF6A","N","1372690"
"TF6B","N","1372691"
"TF6C","N","1372692"
"TF6D","N","1372693"
"TF6E","N","1372694"
"TF6F","N","1372695"
"TF6G","N","1372696"
"TF6H","N","1372697"
"TF6I","N","1372698"
"TF6J","N","1372699"
"TF6K","N","1372700"
"TF6L","N","1372701"
"TF6M","N","1372702"
"TF6N","N","1372703"
"TF6O","N","1372704"
"TF6P","N","1372705"
"TF6Q","N","1372706"
"TF6R","N","1372707"
"TF6S","N","1372708"
"TF6T","N","1372709"
"TF6U","N","1372710"
"TF6V","N","1372711"
"TF6W","N","1372712"
"TF6X","N","1372713"
"TF6Y","N","1372714"
"TF6Z","N","1372715"
"TF70","N","1372716"
"TF71","N","1372717"
